Nom de la manifestation,Région,Domaine,Complément domaine,Département,Périodicité,Mois habituel de début,Site web,N° Identification,Commune principale,Autres communes,N° de l'édition 2018,Date de début,Date de fin,Date de création,Soutenu en 2017 par le ministère de la culture ,Soutenu en 2017 par le Centre national du cinéma ,Soutenu en 2017 par le Centre national du livre ,Soutenu en 2017 par le Centre national des variétés ,Soutenu en 2018 par le ministère de la culture ,Soutenu en 2018 par le Centre national du cinéma ,Soutenu en 2018 par le Centre national du livre ,Soutenu en 2018 par le Centre national des variétés ,Code postal,Code INSEE,coordonnees_insee,Libellé commune pour calcul CP,,,,,,,,,
Page(s de printemps,Île-de-France,Livre et littérature,,75,,04 (avril),www.pages-paris.com,HK022,PARIS,,,4/13/2019,4/13/2019,,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
FESTIVAL INTERNATIONAL DE MUSIQUE SACREE DE LOURDES,Occitanie,Musiques classiques,Baroque et ancien,65,Annuelle,04 (avril),www.festivaldelourdes.fr,KE027,Lourdes,Juillan (65)  / Saint Pé de Bigorre (65)  / Tarbes (65),,4/13/2019,4/22/2019,1/1/1968,,,,,,,,,65100,65286,43.10742973,,,,,,,,,,
FESTIVAL DE PAQUES A AIX EN PROVENCE,Provence-Alpes-Côte d'Azur,Musiques classiques,,13,Annuelle,04 (avril),www.festivalpaques.com,ME033,AIX EN PROVENCE,,6,4/13/2019,4/28/2019,1/1/2013,,,,,,,,,13290,13001,43.53607084,,,,,,,,,,
Live in Tignes by Francofolies,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,73,Annuelle,04 (avril),www.tignes.net,AD207,Tignes,,,4/16/2019,4/18/2019,1/1/2016,,,,,,,,,73320,73296,45.48168285,,,,,,,,,,
FRANCE BLEU LIVE FESTIVAL,Auvergne-Rhône-Alpes,Musiques actuelles,,38,Annuelle,04 (avril),https://www.francebleu.fr/musique/concerts-live/france-bleu-live-festival-aux-2-alpes-1551768521,AD046,Les Deux Alpes,,2,4/17/2019,4/19/2019,1/1/2017,,,,,,,,,38860,38253,45.0159886,,,,,,,,,,
FESTIVAL FLAMENCO AZUL,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques traditionnelles et du monde,13,Annuelle,04 (avril),www.festivalflamenco-azul.com,MD208,AIX EN PROVENCE,Marseille (13),,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVAL DE MUSIQUE DE CHAMBRE A ARCACHON,Nouvelle-Aquitaine,Musiques classiques,Musique de chambre,33,,04 (avril),http://www.ville-arcachon.fr/,JE012,ARCACHON,,,4/23/2019,4/27/2019,,,,,,,,,,33120,33009,44.65290028,,,,,,,,,,
LE P'TIT MONDE,Hauts-de-France,Pluridisciplinaire Spectacle vivant,,59,Annuelle,04 (avril),www.centreandremalraux.com,GB010,HAZEBROUCK,,15,4/24/2019,5/2/2019,1/1/2004,,,,,,,,,59190,59295,50.72629671,,,,,,,,,,
Salon de la BD,Auvergne-Rhône-Alpes,Livre et littérature,Bande dessinée,74,Annuelle,04 (avril),www.sevrierbd.fr,AK022,SEVRIER,,6,4/27/2019,4/28/2019,1/1/2013,,,,,,,,,74320,74267,45.85550128,,,,,,,,,,
Fête du livre de quiberon,Bretagne,Livre et littérature,,56,Annuelle,04 (avril),www.librairiesdeportmaria.fr,CK009,QUIBERON,,6,4/27/2019,4/28/2019,1/1/2013,,,,,,,,,56170,56186,47.48816575,,,,,,,,,,
Festirues,Nouvelle-Aquitaine,Cirque et Arts de la rue,Arts de la rue,40,Annuelle,04 (avril),http://www.morcenx.fr/Morcenx/Sports-culture/La-vie-culturelle,JM008,Morcenx,,17,4/27/2019,4/28/2019,1/1/2002,,,,,,,,,40110,40197,44.04109363,,,,,,,,,,
LES CALEBASSES D'AVRIL,Provence-Alpes-Côte d'Azur,Musiques actuelles,,84,Annuelle,04 (avril),www.crreasud.com,MD136,AVIGNON,,,4/27/2019,4/28/2019,1/1/2012,,,,,,,,,84140,84007,43.93524483,,,,,,,,,,
FESTIVAL BRASSENS A VAISON LA ROMAINE,Provence-Alpes-Côte d'Azur,Musiques actuelles,Chanson,84,Annuelle,04 (avril),www.brassens-festivalvaisonlaromaine.eu,MD149,VAISON LA ROMAINE,,22,4/27/2019,5/5/2019,1/1/1997,,,,,,,,,84110,84137,44.24770187,,,,,,,,,,
JAZZ DAY IN LYON,Auvergne-Rhône-Alpes,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVAL CHANSONS DU MONDE - ENTRE TERRE ET MER,Bretagne,Musiques actuelles,Chanson,35,,04 (avril),https://www.lephare-saintcoulomb.com/,CD052,ST Coulomb,,,4/30/2019,4/30/2019,,,,,,,,,,35350,35263,48.67736942,,,,,,,,,,
TOURNEE EUROPAVOX,Auvergne-Rhône-Alpes,Musiques actuelles,,63,Annuelle,05 (mai),www.europavox.com,AD330,CLERMONT FERRAND,Marseille (13)  /  Cenon (33)  / Lyon (69)  /  Strasbourg (67),,5/2/2019,5/11/2019,,,,,,,,,,63100,63113,45.7856493,,,,,,,,,,
FESTIVAL KLEG (EN ARWEN),Bretagne,Musiques actuelles,,56,Annuelle,05 (mai),www.en-arwen.com,CD195,Cleguerec,,,5/3/2019,5/5/2019,1/1/1986,,,,,,,,,56480,56041,48.12783269,,,,,,,,,,
Festival du film d’aventure,La Réunion,Cinéma et audiovisuel,,974,Annuelle,05 (mai),http://www.auboutdureve.fr/,PJ001,ST DENIS,Diverses communes,14,5/4/2019,5/17/2019,1/1/2005,oui,,,,,,,,97400,97411,-20.93297082,,,,,,,,,,
JAZZ O CHATEAU,Bretagne,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival du livre audio de Strasbourg,Grand Est,Livre et littérature,Livre audio,67,Annuelle,05 (mai),www.laplumedepaon.com,FK018,STRASBOURG,,6,5/9/2019,5/18/2019,1/1/2013,,,,,,,,,67100,67482,48.57126798,,,,,,,,,,
TEUF DE TOULOUSE,Occitanie,Transdisciplinaire,Musique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERSAILLES JAZZ FESTIVAL,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIZONS,Nouvelle-Aquitaine,Transdisciplinaire,Arts et  cultures du Proche-Orient,24,Annuelle,05 (mai),www.festival-orizons.fr,JA014,PERIGUEUX,Sarlat (24)  /  Perigueux (24)  /  Bourrou (24),10,5/16/2019,6/2/2019,1/1/2009,,,,,,,,,24000,24322,45.19187049,,,,,,,,,,
JAZZELLERAULT,Nouvelle-Aquitaine,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semaine du Cinéma Positif,Provence-Alpes-Côte d'Azur,Cinéma et audiovisuel,,6,,05 (mai),https://semaine-cinemapositif.fr/,MJ005,CANNES,,,5/16/2019,5/23/2019,,,oui,,,,,,,6400,6029,43.55262028,,,,,,,,,,
BOCKSONS FESTIVAL,Bourgogne-Franche-Comté,Musiques actuelles,Musiques amplifiées ou électroniques,25,Annuelle,05 (mai),http://www.ville-valentigney.fr,BD009,Valentigney,,,5/17/2019,5/18/2019,1/1/2016,,,,,,,,,25700,25580,47.46473678,,,,,,,,,,
EUROPOPCORN,Bourgogne-Franche-Comté,Musiques actuelles,Musiques amplifiées ou électroniques,71,Annuelle,05 (mai),http://www.europopcorn.fr/,BD034,MERVANS,,,5/17/2019,5/18/2019,1/1/1996,,,,,,,,,71310,71295,46.79451342,,,,,,,,,,
LE BEAU FESTIVAL,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,75,Annuelle,05 (mai),www.lebeaufestival.com,HD067,PARIS,,,5/17/2019,5/19/2019,1/1/2017,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
Grain de sel,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,82,Annuelle,05 (mai),http://www.festivalgraindesel.com,KD209,Castelsarrasin,,2,5/17/2019,5/19/2019,1/1/2017,,,,,,,,,82100,82033,44.04903265,,,,,,,,,,
AUTAN EN FANFARE,Occitanie,Musiques actuelles,Musiques traditionnelles et du monde,31,Annuelle,05 (mai),www.autanenfanfare.com,KD259,St Felix Lauragais,,,5/17/2019,5/19/2019,1/1/2011,,,,,,,,,31540,31478,43.45059419,,,,,,,,,,
LES FANFARONNADES DE TRENTEMOULT,Pays de la Loire,Musiques actuelles,Musiques traditionnelles et du monde,44,Biennale années impaires,05 (mai),www.fanfaronnades.com,LD149,REZE,,,5/17/2019,5/19/2019,,,,,,,,,,44400,44143,47.17623389,,,,,,,,,,
BONNE MACHINE,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,78,Annuelle,05 (mai),www.mjcconflans.org,HD111,CONFLANS STE HONORINE,,,5/18/2019,5/18/2019,1/1/2012,,,,,,,,,78700,78172,49.00010078,,,,,,,,,,
DROLES DE ZEBRES,Grand Est,Divers Spectacle vivant,Humour,67,Annuelle,05 (mai),http://www.fihdz.com,FH016,STRASBOURG,,16,5/21/2019,5/24/2019,1/1/2003,,,,,,,,,67100,67482,48.57126798,,,,,,,,,,
Les 3 Eléphants,Pays de la Loire,Musiques actuelles,Musiques amplifiées ou électroniques,53,Annuelle,05 (mai),www.les3elephants.com,LD071,LAVAL,,21,5/21/2019,5/26/2019,1/1/1998,,,,oui,,,,,53000,53130,48.06085655,,,,,,,,,,
MUSICA NIGELLA,Hauts-de-France,Musiques classiques,,62,,05 (mai),http://www.musica-nigella.fr/,GD999,BERCK,,,5/22/2019,5/26/2019,,,,,,,,,,62600,62108,50.41415743,,,,,,,,,,
LE VESINET JAZZ METIS FESTIVAL,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friction(s),Auvergne-Rhône-Alpes,Pluridisciplinaire Spectacle vivant,,74,,05 (mai),www.chateau-rouge.net,AB048,ANNEMASSE,,,5/23/2019,5/25/2019,,,,,,,,,,74100,74012,46.1909731,,,,,,,,,,
MAGIC BUS,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,38,Annuelle,05 (mai),www.retourdescene.net,AD208,GRENOBLE,,18,5/23/2019,5/25/2019,1/1/2001,,,,,,,,,38000,38185,45.18212152,,,,,,,,,,
TROIS6NEUF,Île-de-France,Musiques actuelles,,75,Annuelle,05 (mai),http://www.theatre-latalante.com,HD236,PARIS,,14,5/23/2019,5/25/2019,1/1/2005,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
Festival L'Histoire à venir,Occitanie,Domaines divers,Histoire et patrimoine,31,Annuelle,05 (mai),https://2019.lhistoireavenir.eu/,KL001,TOULOUSE,,2,5/23/2019,5/26/2019,1/1/2017,,,,,,,,,31300,31555,43.59638143,,,,,,,,,,
FESTI'LAV,Bourgogne-Franche-Comté,Musiques actuelles,Musiques amplifiées ou électroniques,25,,05 (mai),,BD037,Lavernay,,,5/24/2019,5/25/2019,,,,,,,,,,25170,25332,47.24430135,,,,,,,,,,
INVASION DE LUCANES,Nouvelle-Aquitaine,Musiques actuelles,,33,Annuelle,05 (mai),www.invasion-de-lucanes.com,JD217,LIBOURNE,,10,5/24/2019,5/25/2019,1/1/2009,,,,,,,,,33500,33243,44.91307679,,,,,,,,,,
LE BON AIR,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,13,Annuelle,05 (mai),www.bi-pole.org,MD051,MARSEILLE,,4,5/24/2019,5/26/2019,1/1/2015,,,,oui,,,,,13001,13201,43.29990094,,,,,,,,,,
MADE FESTIVAL,Bretagne,Musiques actuelles,Musiques amplifiées ou électroniques,35,Annuelle,05 (mai),www.made-festival.fr,,RENNES,,3,5/24/2019,5/25/2019,1/1/2016,,,,,,,,,35700,35238,48.11197912,,,,,,,,,,
LA VOIX EST LIBRE JAZZ NOMADES,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'humour des notes,Grand Est,Cirque et Arts de la rue,Arts de la rue,67,Annuelle,05 (mai),www.humour-des-notes.com,FM011,HAGUENAU,,27,5/25/2019,6/2/2019,1/1/1992,,,,,,,,,67500,67180,48.84170477,,,,,,,,,,
RENDEZ VOUS HIP HOP,Hauts-de-France,Musiques actuelles,,59,,05 (mai),,GD999,LILLE,,,5/25/2019,6/1/2019,,,,,,,,,,59160,59350,50.63171832,,,,,,,,,,
Musiques au pays de Pierre Loti,Nouvelle-Aquitaine,Transdisciplinaire,Musique et littérature,17,Annuelle,05 (mai),https://www.festival-mppl.com/,JA001,LA ROCHELLE,Diverses communes,15,5/25/2019,6/1/2019,1/1/2004,,,,,,,,,17000,17300,46.1620644,,,,,,,,,,
FESTIVAL BORDURES,Bretagne,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCENSION DU SON,Bretagne,Musiques actuelles,,22,,05 (mai),www.ascensionduson.com,CD021,Plemy,,,5/29/2019,5/30/2019,,,,,,,,,,22150,22184,48.3378874,,,,,,,,,,
TRAD'ENVIE,Occitanie,Musiques actuelles,Musiques traditionnelles et du monde,32,Annuelle,05 (mai),www.tradenvie.fr,KD110,PAVIE,,27,5/29/2019,6/1/2019,1/1/1992,,,,,,,,,32550,32307,43.60561458,,,,,,,,,,
Rencontres Cinémaginaire d’Argelès-sur-mer,Occitanie,Cinéma et audiovisuel,,66,Annuelle,05 (mai),http://www.cinemaginaire.org,KJ038,ARGELES SUR MER,,33,5/29/2019,6/2/2019,1/1/1986,oui,,,,,,,,66700,66008,42.53521935,,,,,,,,,,
JEUX DE VAGUES,Bretagne,Musiques classiques,,35,Annuelle,05 (mai),http://www.festival-jeux-de-vagues.com/,CE999,DINARD,,,5/30/2019,6/1/2019,1/1/2017,,,,,,,,,35800,35093,48.62418059,,,,,,,,,,
PRINTEMPS DE LANVELLEC,Bretagne,Musiques classiques,Baroque et ancien,22,Annuelle,05 (mai),www.festival-lanvellec.fr,CE999,LANVELLEC,,,5/30/2019,6/2/2019,1/1/2008,,,,,,,,,22420,22119,48.60727697,,,,,,,,,,
THIS IS NOT A LOVE SONG,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,30,Annuelle,05 (mai),www.thisisnotalovesong.fr,KD055,NIMES,,6,5/30/2019,6/1/2019,1/1/2013,,,,,,,,,30900,30189,43.84493839,,,,,,,,,,
VOIX DU ROCK (COUHÉ),Nouvelle-Aquitaine,Musiques actuelles,Musiques amplifiées ou électroniques,86,Annuelle,05 (mai),www.lavoixdurock.fr,JD169,COUHE,,3,5/31/2019,6/1/2019,1/1/2016,,,,,,,,,86700,86082,46.29605158,,,,,,,,,,
LES CLARTES MUSICALES,Centre-Val de Loire,Musiques actuelles,,37,Annuelle,05 (mai),http://https//www.facebook.com/events/304051623596296/,DD999,ST Paterne Racan,,,5/31/2019,6/1/2019,1/1/2017,,,,,,,,,37370,37231,47.58169051,,,,,,,,,,
LE WEEK-END DES CURIOSITES,Occitanie,Musiques actuelles,,31,Annuelle,05 (mai),www.leweekenddescuriosites.com,KD068,RAMONVILLE ST AGNE,,8,5/31/2019,6/2/2019,1/1/2011,,,,oui,,,,,31520,31446,43.54418379,,,,,,,,,,
Banquet de printemps de Lagrasse,Occitanie,Livre et littérature,Sciences humaines et sociales,11,,05 (mai),www.lamaisondubanquet.fr,KK012,Lagrasse,,,5/31/2019,6/2/2019,,,,,,,,,,11220,11185,43.09572303,,,,,,,,,,
COULEURS URBAINES,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,83,Annuelle,05 (mai),http://festival-couleursurbaines.com,MD114,LA SEYNE SUR MER,,10,5/31/2019,6/1/2019,1/1/2009,,,,,,,,,83500,83126,43.0880295,,,,,,,,,,
LE MAS DES ESCARAVATIERS,Provence-Alpes-Côte d'Azur,Musiques actuelles,,83,Annuelle,06 (juin),www.lemas-concert.com,MD161,PUGET SUR ARGENS,,15,6/1/2019,7/10/2019,1/1/2004,,,,,,,,,83480,83099,43.47176713,,,,,,,,,,
PLEIN AIR DE ROCK,Grand Est,Musiques actuelles,Musiques amplifiées ou électroniques,54,Annuelle,06 (juin),www.pleinairderockjarny.fr,FD112,JARNY,,25,6/1/2019,6/1/2019,1/1/1994,,,,,,,,,54800,54273,49.1495784,,,,,,,,,,
RENCONTRES TRANSFRONTALIERES,Hauts-de-France,Musiques actuelles,,2,Annuelle,06 (juin),https://transfrontalieres.wordpress.com/,GD999,Hirson,,,6/1/2019,6/2/2019,1/1/1997,,,,,,,,,2500,2381,49.94264586,,,,,,,,,,
PARIS HIP HOP,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,75,Annuelle,06 (juin),www.paris-hiphop.com,HD209,PARIS,,13,6/1/2019,6/23/2019,1/1/2006,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
Hip hop Rendez vous,Pays de la Loire,Musiques actuelles,Musiques amplifiées ou électroniques,44,,06 (juin),http://www.pickup-prod.com/,LD007,NANTES,,,6/1/2019,6/1/2019,,oui,,,,,,,,44200,44109,47.23163568,,,,,,,,,,
K-LIVE,Occitanie,Transdisciplinaire,Art urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATITUDES CONTEMPORAINES,Hauts-de-France,Danse,Danse contemporaine,59,Annuelle,06 (juin),http://latitudescontemporaines.com,GF001,LILLE,,16,6/5/2019,6/28/2019,1/1/2003,oui,,,,,,,,59160,59350,50.63171832,,,,,,,,,,
VILLETTE SONIQUE,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,75,Annuelle,06 (juin),www.villettesonique.com,HD030,PARIS,,13,6/6/2019,6/9/2019,1/1/2006,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
MUSIK A PILE,Nouvelle-Aquitaine,Musiques actuelles,,33,Annuelle,06 (juin),www.musikapile.fr,JD210,ST DENIS DE PILE,,21,6/6/2019,6/8/2019,1/1/1998,,,,,,,,,33910,33393,44.98790177,,,,,,,,,,
IDA Y VUELTA,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,66,,06 (juin),www.idayvuelta-festival.fr,KD178,PERPIGNAN,,,6/6/2019,6/9/2019,,,,,,,,,,66000,66136,42.69659541,,,,,,,,,,
Déantibulations,Provence-Alpes-Côte d'Azur,Cirque et Arts de la rue,Arts de la rue,6,,06 (juin),http://www.acla06.com/,MM002,ANTIBES,,,6/6/2019,6/9/2019,,,,,,,,,,6160,6004,43.58746515,,,,,,,,,,
ÇA VA BIEN SE PASSER,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,38,Annuelle,06 (juin),www.cavabienspasser.fr,AD052,ESTRABLIN,,6,6/7/2019,6/9/2019,1/1/2013,,,,,,,,,38780,38157,45.51360759,,,,,,,,,,
GRAND BASTRINGUE DE CLUNY,Bourgogne-Franche-Comté,Musiques actuelles,Musiques amplifiées ou électroniques,71,Annuelle,06 (juin),www.grandbastringue.com,BD049,CLUNY,,13,6/7/2019,6/8/2019,1/1/2006,,,,,,,,,71250,71137,46.43036286,,,,,,,,,,
VOSGES MOTO ESTIVAL,Grand Est,Transdisciplinaire,Musique et moto,88,,06 (juin),http://www.vosgesmotoestival.com/,FD999,ST Die des Vosges,,,6/7/2019,6/9/2019,1/1/2019,,,,,,,,,88100,88413,48.29670935,,,,,,,,,,
THIS IS MY FEST,Île-de-France,Musiques actuelles,Musiques amplifiées ou électroniques,93,,06 (juin),,HD999,MONTREUIL,,,6/7/2019,6/9/2019,,,,,,,,,,93100,93048,48.86331751,,,,,,,,,,
FESTIVAL ODP,Nouvelle-Aquitaine,Musiques actuelles,Musiques amplifiées ou électroniques,33,Annuelle,06 (juin),http://www.festival-odp.com,JD076,BORDEAUX,,4,6/7/2019,6/9/2019,1/1/2015,,,,,,,,,33000,33063,44.85724454,,,,,,,,,,
TERRE DE BLUES,Guadeloupe,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVAL JAZZ AND BLUES DE THOMERY,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSYMIND ORIGINS,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,13,,06 (juin),,MD999,Rognes,,,6/8/2019,6/8/2019,,,,,,,,,,13840,13082,43.66487818,,,,,,,,,,
PRINTEMPS DE PEROUGES,Auvergne-Rhône-Alpes,Musiques actuelles,,1,Annuelle,06 (juin),www.festival-perouges.org,AD278,PEROUGES,,22,6/12/2019,6/27/2019,1/1/1997,,,,,,,,,1800,1290,45.88039458,,,,,,,,,,
LES NUITS DES ARENES,Île-de-France,Transdisciplinaire,,75,Annuelle,06 (juin),https://www.nuitsdesarenes.com,HA012,PARIS,,4,6/12/2019,6/16/2019,1/1/2015,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
FESTIVAL DE MUSIQUE DE TOULON - LE FESTIVAL ESTIVAL,Provence-Alpes-Côte d'Azur,Musiques classiques,,83,Annuelle,06 (juin),http://www.festivalmusiquetoulon.com/,ME999,SIX FOURS LES PLAGES,,,6/12/2019,7/10/2019,1/1/1951,,,,,,,,,83140,83129,43.0868186,,,,,,,,,,
LA RUE DES ARTISTES,Auvergne-Rhône-Alpes,Musiques actuelles,,42,Annuelle,06 (juin),www.laruedesartistes.fr,AD226,ST CHAMOND,,21,6/14/2019,6/16/2019,1/1/1998,,,,,,,,,42400,42207,45.46983195,,,,,,,,,,
Musée Électronique Festival,Auvergne-Rhône-Alpes,Musiques actuelles,Electro,38,,06 (juin),http://www.leperiscope.com/,AD326,GRENOBLE,,,6/14/2019,6/15/2019,1/1/2019,,,,,,,,,38000,38185,45.18212152,,,,,,,,,,
LOIR EN ZIC,Auvergne-Rhône-Alpes,Musiques actuelles,,43,,06 (juin),,AD999,Brives Charensac,,,6/14/2019,6/16/2019,,,,,,,,,,43700,43041,45.04632671,,,,,,,,,,
KEEP THE FAITH WEEKENDER,Bourgogne-Franche-Comté,Musiques actuelles,,25,Annuelle,06 (juin),http://www.lemoloco.com/keep-the-faith-weekender/,BD099,AUDINCOURT,,4,6/14/2019,6/15/2019,1/1/2015,,,,,,,,,25400,25031,47.48116764,,,,,,,,,,
LA TERRASSE ECAM FESTIVAL,Auvergne-Rhône-Alpes,Musiques actuelles,,69,,06 (juin),,AD999,LYON,,,6/15/2019,6/16/2019,,,,,,,,,,69001,69381,45.76992844,,,,,,,,,,
Horizons Arts Nature en Sancy,Auvergne-Rhône-Alpes,Transdisciplinaire,Nature et Arts plastiques,63,Annuelle,06 (juin),https://www.horizons-sancy.com/,AI014,MONT DORE,,6,6/15/2019,9/22/2019,1/1/2013,oui,,,,,,,,63240,63236,45.57609991,,,,,,,,,,
OSTREOID FEST,Île-de-France,Musiques actuelles,,75,,06 (juin),,HD999,PARIS,,,6/15/2019,6/16/2019,,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
AMERICAN FAIR,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,13,Annuelle,06 (juin),https://www.festival-american-fair.com,MD064,CHATEAUNEUF LES MARTIGUES,,13,6/15/2019,6/16/2019,1/1/2006,,,,,,,,,13220,13026,43.38659064,,,,,,,,,,
FESTIVAL FERTE JAZZ,Île-de-France,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FESTIVAL DE NIMES,Occitanie,Musiques actuelles,,30,Annuelle,06 (juin),www.festivaldenimes.com,KD225,NIMES,,22,6/23/2019,7/20/2019,1/1/1997,,,,,,,,,30900,30189,43.84493839,,,,,,,,,,
FESTIVAL DES 7 COLLINES,Auvergne-Rhône-Alpes,Pluridisciplinaire Spectacle vivant,Cirque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE YOU IN THE PIT,Occitanie,Musiques actuelles,Musiques amplifiées ou électroniques,34,Annuelle,06 (juin),http://tafproduction.blogspot.fr/,KD154,ST JEAN DE VEDAS,,8,6/25/2019,8/22/2019,1/1/2011,,,,,,,,,34430,34270,43.57162823,,,,,,,,,,
Le Marathon des mots,Occitanie,Livre et littérature,,31,Annuelle,06 (juin),www.lemarathondesmots.com,KK004,TOULOUSE,,14,6/25/2019,6/30/2019,1/1/2005,,,oui,,,,,,31300,31555,43.59638143,,,,,,,,,,
Festival des Abbayes en Lorraine,Grand Est,Musiques classiques,Baroque et ancien,88,,06 (juin),http://www.festivaldesabbayes.com/,FE006,LA PETITE RAON,,,6/26/2019,8/24/2019,,oui,,,,,,,,88210,88346,48.41943665,,,,,,,,,,
PESTACLES,Île-de-France,Musiques actuelles,,75,Annuelle,06 (juin),www.lespestacles.fr,HD232,PARIS,,25,6/26/2019,9/4/2019,1/1/1994,,,,,,,,,75001,75101,48.86263049,,,,,,,,,,
ARDÈCHE ALUNA FESTIVAL,Auvergne-Rhône-Alpes,Musiques actuelles,Musiques amplifiées ou électroniques,7,Annuelle,06 (juin),www.aluna-festival.fr,AD018,RUOMS,,11,6/27/2019,6/29/2019,1/1/2008,,,,,,,,,7120,7201,44.44790308,,,,,,,,,,
LES NUITS CARREES,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,6,Annuelle,06 (juin),www.nuitscarrees.com,MD029,ANTIBES,,12,6/27/2019,6/29/2019,1/1/2007,,,,oui,,,,,6160,6004,43.58746515,,,,,,,,,,
FESTI'VEYLE,Auvergne-Rhône-Alpes,Musiques actuelles,,1,,06 (juin),,AD143,ST Cyr Sur Menthon,,,6/28/2019,6/29/2019,,,,,,,,,,1380,1343,46.27540056,,,,,,,,,,
SWING SOUS LES ETOILES,Auvergne-Rhône-Alpes,Musiques actuelles,Jazz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA RUE RALE,Bretagne,Transdisciplinaire,Cultures urbaines,56,Annuelle,06 (juin),https://www.facebook.com/laruerale/,CA005,Allaire,,4,6/28/2019,6/29/2019,1/1/2015,,,,,,,,,56350,56001,47.63921934,,,,,,,,,,
LES ARTS SCENICS,Occitanie,Musiques actuelles,,81,Annuelle,06 (juin),www.artsscenics.com,KD207,Lisle sur Tarn,,17,6/28/2019,6/30/2019,1/1/2002,,,,,,,,,81310,81145,43.89749804,,,,,,,,,,
FOIX'R DE RUE,Occitanie,Cirque et Arts de la rue,Arts de la rue,9,Annuelle,06 (juin),http://foixrderue.com,KM021,FOIX,,5,6/28/2019,6/30/2019,1/1/2014,,,,,,,,,9000,9122,42.96585023,,,,,,,,,,
DUB STATION FESTIVAL,Provence-Alpes-Côte d'Azur,Musiques actuelles,Musiques amplifiées ou électroniques,13,Annuelle,06 (juin),http://www.musicalriot.org,MD095,VITROLLES,,6,6/28/2019,6/29/2019,1/1/2013,,,,,,,,,13127,13117,43.44978317,,,,,,,,,,
Festival international du roman noir (FIRN),Occitanie,Livre et littérature,Littérature policière,34,Annuelle,06 (juin),www.firn-frontignan.fr,KK008,FRONTIGNAN,,21,6/28/2019,6/30/2019,1/1/1998,,,oui,,,,,,34110,34108,43.44824589,,,,,,,,,,
LE CHANT DES GROLES,Nouvelle-Aquitaine,Musiques actuelles,,86,Annuelle,06 (juin),http://chant-des-groles.fr/,JD178,Vivonne,,8,6/28/2019,6/29/2019,1/1/2011,,,,,,,,,86370,86293,46.4120407,,,,,,,,,,
NOCTURNES DE LA CHAMBRE D'AMOUR,Nouvelle-Aquitaine,Musiques actuelles,A compléter,64,,06 (juin),www.anglet.fr,JD999,ANGLET,,,6/28/2019,6/29/2019,,,,,,,,,,64600,64024,43.49178466,,,,,,,,,,
